day_label,stage_name,time_raw,start_time,end_time,artist_name_raw,artist_name_en,artist_name_ko,artist_key,artist_slug_candidate,row_number,source_file
토-일,마음,11:00~12:00,11:00,12:00,VOICE OF THE TREES: A FOREST TEMPLE 나무의 목소리: 숲의 사원,VOICE OF THE TREES: A FOREST TEMPLE,나무의 목소리: 숲의 사원,VOICEOFTHETREESAFORESTTEMPLE,voice-of-the-trees-a-forest-temple,14,2026__sheet.csv
토-일,마음,13:00~14:00,13:00,14:00,ZAHO : WHERE RHYTHM PAUSES 자호 : 리듬이 머무는 순간,ZAHO : WHERE RHYTHM PAUSES :,자호: 리듬이 머무는 순간,ZAHOWHERERHYTHMPAUSES,zaho-where-rhythm-pauses,15,2026__sheet.csv
토-일,마음,15:00~16:00,15:00,16:00,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING 나비연 즉흥소리 & 사운드 힐링 콘서트,NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING &,나비연 즉흥소리 사운드 힐링 콘서트,NABIYONLIVEIMPROVISEDVOICESOUNDHEALING,,16,2026__sheet.csv
토-일,마음,18:00~19:00,18:00,19:00,BODY ART MEDITATION / 체감 예술 명상,BODY ART MEDITATION,체감 예술 명상,BODYARTMEDITATION,body-art-meditation,5,2026__sheet.csv
토-일,마음,20:00~21:00,20:00,21:00,KIM OKI : EXORCIST KING / 김오키 퇴마왕,KIM OKI : EXORCIST KING,김오키 퇴마왕,KIMOKIEXORCISTKING,kim-oki-exorcist-king,6,2026__sheet.csv
토-일,마음,22:00~23:00,22:00,23:00,INDIGO MOONWAVE SOUNDHEALING 인디고 문웨이브 사운드 힐링,INDIGO MOONWAVE SOUNDHEALING,인디고 문웨이브 사운드 힐링,INDIGOMOONWAVESOUNDHEALING,indigo-moonwave-soundhealing,7,2026__sheet.csv
토-일,마음,24:00~02:00,24:00,02:00,VERA,VERA,,VERA,vera,9,2026__sheet.csv
토-일,바람,17:00-18:00,17:00,18:00,OYSTERS 오이스터즈,OYSTERS 오이스터즈,오이스터스,OYSTERS,oysters,4,2026__sheet.csv
토-일,바람,19:00-20:00,19:00,20:00,MEANINGFUL STONE 김뜻돌,MEANINGFUL STONE,김뜻돌,MEANINGFULSTONE,meaningful-stone,5,2026__sheet.csv
토-일,바람,21:00-22:00,21:00,22:00,CHANG KIHA 장기하,CHANG KIHA,장기하,CHANGKIHA,chang-kiha,6,2026__sheet.csv
토-일,숲,02:00-04:00,02:00,04:00,SUNJU HARGUN,SUNJU HARGUN,,SUNJUHARGUN,sunju-hargun,11,2026__sheet.csv
토-일,숲,04:00-06:00,04:00,06:00,SUNGHOON,SUNGHOON,,SUNGHOON,sunghoon,12,2026__sheet.csv
토-일,숲,16:00~20:00,16:00,20:00,KOMPAKT RECORD,KOMPAKT RECORD,,KOMPAKTRECORD,,7,2026__sheet.csv
토-일,숲,22:00-24:00,22:00,24:00,DJ SIN,DJ SIN,,DJSIN,dj-sin,9,2026__sheet.csv
토-일,숲,24:00-02:00,24:00,02:00,ROBERT ISTOC,ROBERT ISTOC,로베르투 이스톡,ROBERTISTOC,robert-istoc,10,2026__sheet.csv
토-일,작가,,,,CHANG SEAHEE / 장세희,CHANG SEAHEE,장세희,CHANGSEAHEE,chang-seahee,4,2026__sheet.csv
토-일,작가,,,,CONXI SANE,CONXI SANE,,CONXISANE,,10,2026__sheet.csv
토-일,작가,,,,CONXI SANE (LIVE PAINTING),CONXI SANE (LIVE PAINTING),,CONXISANELIVEPAINTING,conxi-sane-live-painting,5,2026__sheet.csv
토-일,작가,,,,GOO GIJEONG / 구기정,GOO GIJEONG,구기정,GOOGIJEONG,goo-gijeong,6,2026__sheet.csv
토-일,작가,,,,JUNG SEUNG / 정승,JUNG SEUNG,정승,JUNGSEUNG,jung-seung,7,2026__sheet.csv
토-일,작가,,,,STUDIO NOKE / 스튜디오 노케,STUDIO NOKE,스튜디오 노케,STUDIONOKE,studio-noke,8,2026__sheet.csv
토-일,작가,,,,VIIA YEON / 비아 연,VIIA YEON,비아 연,VIIAYEON,viia-yeon,9,2026__sheet.csv
토-일,잔디,02:30-04:00,02:30,04:00,NOMTII,NOMTII,놈티,NOMTII,nomtii,11,2026__sheet.csv
토-일,잔디,16:00-17:30,16:00,17:30,SUNDAY LEE,SUNDAY LEE,선데이 리,SUNDAYLEE,sunday-lee,5,2026__sheet.csv
토-일,잔디,17:30-19:00,17:30,19:00,AFRODITE,AFRODITE,아프로다이트,AFRODITE,afrodite,6,2026__sheet.csv
토-일,잔디,19:00-20:30,19:00,20:30,DAOX,DAOX,다옥스,DAOX,daox,7,2026__sheet.csv
토-일,잔디,20:30-22:30,20:30,22:30,ARMEN MIRAN,ARMEN MIRAN,아르멘미란,ARMENMIRAN,armen-miran,8,2026__sheet.csv
토-일,잔디,22:30-24:30,22:30,24:30,SÉBASTIEN LÉGER,SÉBASTIEN LÉGER,세바스티앙 레제,SEBASTIENLEGER,sebastien-leger,9,2026__sheet.csv
토-일,잔디,24:30-02:30,24:30,02:30,SPACE MOTION,SPACE MOTION,,SPACEMOTION,space-motion,10,2026__sheet.csv
토-일,한옥,03:00-05:00,03:00,05:00,GABBS,GABBS,갑스,GABBS,gabbs,11,2026__sheet.csv
토-일,한옥,05:00-08:00,05:00,08:00,FRANCESCO DEL GARDA,FRANCESCO DEL GARDA,프란체스코 델 가르다,FRANCESCODELGARDA,francesco-del-garda,12,2026__sheet.csv
토-일,한옥,08:00-11:00,08:00,11:00,FRANCESCO FARFA,FRANCESCO FARFA,프란체스코 팔파,FRANCESCOFARFA,francesco-farfa,13,2026__sheet.csv
토-일,한옥,19:00-21:00,19:00,21:00,DOTT,DOTT,,DOTT,dott,7,2026__sheet.csv
토-일,한옥,21:00-23:00,21:00,23:00,KIBUM B2B COSMJN,KIBUM B2B COSMJN,,KIBUMB2BCOSMJN,kibum-b2b-cosmjn,8,2026__sheet.csv
토-일,한옥,23:00-24:30,23:00,24:30,DATA MEMORY ACCESS (LIVE),DATA MEMORY ACCESS (LIVE),데이타 메모리 엑세스 (라이브),DATAMEMORYACCESSLIVE,data-memory-access-live,9,2026__sheet.csv
토-일,한옥,24:30-03:00,24:30,03:00,SHONKY,SHONKY,숀키,SHONKY,shonky,10,2026__sheet.csv
